GAL,Uniprot,Annotation
IGSF22,Q8N9C0,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IL1RL2,Q9HB29,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
IL20,Q9NYY1,adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
IL34,Q6ZMJ4,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
INAVA,Q3KP66,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
INKA1,Q96EL1,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
IQANK1,A8MXQ7,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IRX2,Q9BZI1,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IRX4,P78413,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
IRX6,P78412,adipose*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
ITPRID1,Q6ZRS4,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KLF5,Q13887,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KLK11,Q9UBX7,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KLK8,O60259,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KRT17,Q04695,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KRT36,O76013,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KRTAP4-1,Q9BYQ7,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KRTAP5-2,Q701N4,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
KRTAP5-7,Q6L8G8,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LAD1,O00515,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LFNG,Q8NES3,pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
LRP4,O75096,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LRRC15,Q8TF66,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LTB4R2,Q9NPC1,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
LY6D,Q14210,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
METRNL,Q641Q3,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*monocyte
MMP27,Q9H306,salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
MPIG6B,O95866,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
MRGPRX2,Q96LB1,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
NCCRP1,Q6ZVX7,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NPY4R,P50391,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
OBP2B,Q9NPH6,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PARD6G,Q9BYG4,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PAX3,P23760,skeletal*gallbladder*parathyroid*pituitary*adipose
PGLYRP3,Q96LB9,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
PHLDB3,Q6NSJ2,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PLA2G3,Q9NZ20,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PLA2G4D,Q86XP0,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PNLIPRP3,Q17RR3,breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
POSTN,Q15063,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RAB38,P57729,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
RASSF10,A6NK89,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RHOV,Q96L33,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
RNF222,A6NCQ9,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*nk cell*cell*granulocyte*t cells*monocyte
RPTN,Q6XPR3,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
S100A5,P33763,thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
SAPCD1,Q5SSQ6,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SBSN,Q6UWP8,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SCEL,O95171,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SDR9C7,Q8NEX9,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SERPINB5,P36952,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SH3RF2,Q8TEC5,skeletal*gallbladder*parathyroid*pituitary*adipose
SLC10A6,Q3KNW5,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC2A1,P11166,placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC39A2,Q9NP94,seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC44A5,Q8NCS7,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC6A2,P23975,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLURP2,P0DP57,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SPRR2B,P35325,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
SPRR2E,P22531,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*granulocyte*t cells*monocyte
SPTBN2,O15020,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SPTSSB,Q8NFR3,stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SRY,Q05066,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SULT1E1,P49888,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SYT8,Q8NBV8,urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TBPL2,Q6SJ96,skeletal*gallbladder*parathyroid*pituitary*adipose
TENT5B,Q96A09,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TFAP2C,Q92754,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TGM5,O43548,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TLCD3A,Q8TBR7,skin*adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TMPRSS11F,Q6ZWK6,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TMPRSS13,Q9BYE2,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TNS4,Q8IZW8,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TP53AIP1,Q9HCN2,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TRIM29,Q14134,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
UCN2,Q96RP3,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
USH1G,Q495M9,esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
XKRX,Q6PP77,lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ZNF750,Q32MQ0,vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYP11B2,P19099,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYP11B1,P15538,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYP17A1,P05093,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
GML,Q99445,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
HSD3B2,P26439,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
TH,P07101,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYP21A2,P08686,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
MC2R,Q01718,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
CYP11A1,P05108,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ARHGAP36,Q6ZRI8,pituitary*adipose
NXPH1,P58417,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
ADGRV1,Q8WXG9,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
PHOX2B,Q99453,intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NPY,P01303,prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
DRGX,A6NNA5,brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose*langerhans*hofbauer*plasma cell*b cell*dendritic cell*erythroid cell*kupffer*macrophage*nk cell*cell*granulocyte*t cells*monocyte
PHOX2A,O14813,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SLC18A1,P54219,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
FDX1,P10109,adrenal*tongue*esophagus*ovary*endometrium*breast*kidney*intestine*bonemarrow*seminal*lymphoid*brain*liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
NR0B1,P51843,testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
SCG2,O00255,pituitary*adipose
AOX1,Q06278,liver*pancreas*urinary*choroid*smooth*stomach*heart*thyroid*salivary*placenta*epididymis*fallopian*prostate*testis*vagina*skeletal*gallbladder*parathyroid*pituitary*adipose
